_id,bgColor,createdAt,deleted,order,removedBy,slug,status,title,updatedAt,userId,workspaceId
LiQ344ePaq8c6iw8F,"rgba(184,203,255,1)",2018-09-07T19:04:03.959Z,false,1,,video,public,Video,2018-11-01T15:42:05.762Z,fKE2sTfNXxsDMxGg3,TuAmtRWKepNmGqP46
LbjEy3DZ9g7L3rTjR,"rgb(64,116,153)",2018-09-14T11:18:30.143Z,true,2,,week-2-assignments,public,Week 2 Assignments,2018-10-14T21:46:44.034Z,aaYcLwTazjj3DHDgb,4rWq54uPxJJpfDxMB
eckbuEWWwstS3YpZB,"rgb(80,24,20)",2018-09-07T22:08:40.688Z,false,1,,reading-reflection,public,Reading Reflection,2018-09-14T20:05:45.945Z,BMgHziq68YQHjyHS8,fb7GPmHRgnwMfXXqf
QwqdCyYTvWBFP68rk,"rgb(86,7,232)",2018-09-14T21:48:20.543Z,true,2,,,public,,2018-09-14T21:49:00.473Z,KaR4ZSQb52qi78HoP,Sr2xZgPwr439ZZYYA
Je9JLya9Bsg2YKMCp,"rgb(56,228,182)",2018-09-10T04:15:41.053Z,true,1,kjJYniGziGmt245X8,reflection-on-readings,public,Reflection on readings,2018-11-14T05:47:50.785Z,KzoNyARq9Ck6xHWQw,kjJYniGziGmt245X8
fjTDN3xnFD6FKNgcC,"rgb(237,174,226)",2018-09-15T02:50:34.519Z,false,2,,week-2,public,Week 2,2018-09-15T02:50:53.348Z,FhS9YCt3SwFWcefMG,wGZESDkt4YciirXbs
m7YR47onFzKqmrLqH,"rgba(123,161,79,1)",2018-09-15T02:54:01.012Z,true,2,,week2-reflection,public,Week2-Reflection,2018-10-13T03:54:06.414Z,ZyBb5SwtnGSy45fyD,LQpqBPKL2FXWjgR7v
69X9n9mgBkPAoGfHh,"rgb(215,61,134)",2018-09-06T19:41:06.689Z,false,0,,a-little-about-yigu,public,A Little About Yigu,2018-09-15T03:13:58.874Z,sq7SHLAX34wXDZFek,ALqy4xMeEpD3XsYkk
6FWwYxaq6cNM9TbBm,"rgba(193,201,55,1)",2018-09-15T04:16:36.355Z,false,8,,week-2-assignment,public,Week 2 Assignment,2018-12-09T18:44:59.082Z,GFwf4gFb2SrTzgwnB,DfvqPYzvpvaomSe9M
wp28p5kotQQ6dGSDs,"rgba(92,184,92,1)",2018-09-15T17:06:55.604Z,false,8,,week-3-learning,public,Week 3 Learning,2018-12-04T04:20:10.990Z,naGTTkfNgE2NgAZd9,Xsi7gsQ9TzCsHBgA3
kbtCvGAMyq4kc6G6P,"rgb(162,220,31)",2018-09-15T18:59:50.472Z,false,2,,91418-assignments,public,9.14.18 Assignments,2018-11-08T13:55:32.659Z,FHnjbB9kuE8yrcaiE,W6xf8ypDtqjRzPGZP
47Z8PHRzmh2EXnhbo,"rgba(207,223,80,1)",2018-09-16T21:41:56.003Z,false,2,,about-information-society,public,about information society,2018-09-16T22:36:09.577Z,rMbP9kSwdw3Q87Fa7,u8ccEetDJbpFnM8cS
JRoZFTCuj4KqCWv2v,"rgb(138,111,142)",2018-09-16T22:21:04.513Z,false,1,,hudk-4011-online,public,HUDK 4011 Online,2018-09-17T01:27:36.790Z,eYdjdDxtjCy6YRnWx,ZgJbvxsTihep9Bs9X
kddXeXby8GNtWMdCq,"rgb(101,210,21)",2018-09-18T18:42:48.607Z,true,3,,week-3-assignments,public,Week 3 Assignments,2018-10-14T21:48:23.682Z,aaYcLwTazjj3DHDgb,4rWq54uPxJJpfDxMB
PhHNwHpiWG36baQih,"rgb(168,178,214)",2018-09-18T23:02:15.733Z,false,2,,week2,public,Week2,2018-09-18T23:02:22.987Z,Enke95Wm2oP979qYz,MbCgpyEDGs5HJz2zZ
A36QWm5ZR3yNCDd9F,"rgb(234,243,209)",2018-09-07T00:21:12.061Z,false,1,,reflections,public,Reflections,2018-11-26T23:05:28.401Z,KaR4ZSQb52qi78HoP,Sr2xZgPwr439ZZYYA
mb2AyZ5CnAPzkaDs7,"rgb(137,165,1)",2018-09-20T00:21:14.029Z,false,3,,91518-assignments,public,9.15.18 Assignments,2018-11-08T13:55:32.684Z,FHnjbB9kuE8yrcaiE,W6xf8ypDtqjRzPGZP
zmCjhoHirzBrSvfjn,"rgb(62,3,84)",2018-09-20T01:57:59.590Z,false,3,,week-3-92018-assignments,public,Week 3 (9.20.18) Assignments,2018-12-02T17:57:09.489Z,KtmxSfDBijtzjsJYm,vBwmcABpqnaEzfx6A
pasFAcGYkfABRtNQG,"rgb(206,102,185)",2018-09-20T02:55:18.092Z,false,0,,about-me,public,About me,2018-09-20T02:55:22.611Z,TaThRxpCqF73LZgra,s5FQ5Zuv7B8A8qDvu
NYfZgoo489oeTabWE,"rgb(185,161,8)",2018-09-20T02:55:28.320Z,false,1,,week-1,public,Week 1,2018-11-06T02:25:54.465Z,TaThRxpCqF73LZgra,s5FQ5Zuv7B8A8qDvu
72Ez2Wv2XuddRad83,"rgb(124,109,137)",2018-09-20T02:55:42.379Z,false,2,,week-2,public,Week 2,2018-11-06T02:25:59.443Z,TaThRxpCqF73LZgra,s5FQ5Zuv7B8A8qDvu
p34WqaTurGyGyKveG,"rgb(73,243,141)",2018-09-20T02:55:48.616Z,false,3,,week-3,public,Week 3,2018-11-06T02:26:05.606Z,TaThRxpCqF73LZgra,s5FQ5Zuv7B8A8qDvu
apxgvm28kSSfGdeYn,"rgb(159,49,233)",2018-09-20T05:39:07.916Z,true,2,,week-3,public,Week 3,2018-11-09T06:38:18.839Z,4EMMkd4vtihTuEZ9o,gQvtZmLcpiBooDrCg
95jrgomLzr8mnT4q4,"rgba(218,180,93,1)",2018-09-20T14:52:49.510Z,false,3,,necessity-of-networked-learning,public,necessity of Networked learning?,2018-09-20T14:53:28.300Z,rMbP9kSwdw3Q87Fa7,u8ccEetDJbpFnM8cS
7CvcEMaq72a2v99cs,"rgba(226,176,100,1)",2018-09-20T15:14:33.412Z,false,4,,structure-of-network,public,structure of network,2018-10-19T00:36:27.777Z,rMbP9kSwdw3Q87Fa7,u8ccEetDJbpFnM8cS
